2,1741325419.902709,0,1
1,1741325420.123868,1,1
3,1741325420.296472,1,1
2,1741325420.772245,0,1
1,1741325421.183406,0,0
3,1741325421.541294,1,1
2,1741325421.612991,0,1
1,1741325422.259892,0,0
2,1741325422.452105,0,0
3,1741325422.642686,0,1
2,1741325423.305078,0,1
1,1741325423.305196,0,0
3,1741325423.742610,0,1
2,1741325424.093560,0,0
1,1741325424.433185,0,0
3,1741325424.839416,0,1
2,1741325424.913930,0,1
1,1741325425.527727,0,0
2,1741325425.739589,0,0
3,1741325425.985636,0,1
2,1741325426.569380,0,1
1,1741325426.709285,0,1
3,1741325427.458324,1,1
2,1741325427.623452,1,1
1,1741325427.779039,0,0
2,1741325428.436702,0,0
3,1741325428.597555,1,1
1,1741325428.921817,0,0
2,1741325429.345106,0,1
3,1741325429.690701,0,1
1,1741325430.047231,0,1
